open_time,symbol,fold,signal,ensemble_prob,p_lorentzian,p_catboost,p_xgboost,p_rf,open,close,next_open,next_close,won
2025-10-29 06:20:00+00:00,ETHUSDT,1,SHORT,0.21110431560329607,0.125,0.2526315789473684,0.34272996,0.058823529411764705,4027.46,4027.46,4028.51,4031.41,0.0
2025-10-29 06:55:00+00:00,ETHUSDT,1,SHORT,0.18386028185910924,0.125,0.20588235294117646,0.3069307,0.016129032258064516,4032.03,4032.03,4022.74,4026.29,0.0
2025-10-29 07:15:00+00:00,ETHUSDT,1,SHORT,0.1974148114405729,0.125,0.20588235294117646,0.34272996,0.06217616580310881,4020.76,4020.76,4027.44,4023.63,1.0
2025-10-29 07:20:00+00:00,ETHUSDT,1,SHORT,0.18846499521361368,0.125,0.20588235294117646,0.3069307,0.06217616580310881,4027.44,4023.63,4025.87,4027.84,0.0
2025-10-29 07:55:00+00:00,ETHUSDT,1,SHORT,0.18864935115403875,0.125,0.20588235294117646,0.32608697,0.016129032258064516,4027.44,4027.46,4022.84,4022.71,1.0
2025-10-29 08:10:00+00:00,ETHUSDT,1,SHORT,0.21117692957906162,0.25,0.20588235294117646,0.2476489,0.0,4017.22,4017.22,4014.84,4017.01,0.0
2025-10-29 08:40:00+00:00,ETHUSDT,1,SHORT,0.19788504966096682,0.125,0.2526315789473684,0.3069307,0.016129032258064516,4008.12,4008.12,4012.01,4011.94,1.0
2025-10-29 11:00:00+00:00,ETHUSDT,1,SHORT,0.2095236609795929,0.125,0.28559870550161814,0.24764892,0.18181818181818182,3990.83,3994.75,3998.76,4002.37,0.0
2025-10-29 11:45:00+00:00,ETHUSDT,1,SHORT,0.18346491598038267,0.0,0.28559870550161814,0.3069307,0.21052631578947367,4012.09,4012.09,4013.22,4012.02,1.0
2025-10-29 12:35:00+00:00,ETHUSDT,1,SHORT,0.19506863759694362,0.0,0.28559870550161814,0.35222277,0.21333333333333335,4006.75,4006.75,4011.91,4012.0,0.0
2025-10-29 17:45:00+00:00,ETHUSDT,1,SHORT,0.21090061141043281,0.0,0.3361153262518968,0.30693072,0.3333333333333333,3999.01,3999.26,4008.3,4008.47,0.0
2025-10-29 22:40:00+00:00,ETHUSDT,1,SHORT,0.17910019586648976,0.0,0.28559870550161814,0.34272996,0.07738095238095238,3937.42,3937.42,3937.42,3937.42,1.0
2025-10-30 03:50:00+00:00,ETHUSDT,1,SHORT,0.19831858325853094,0.125,0.28559870550161814,0.24764891,0.06976744186046512,3931.6,3926.59,3941.52,3926.85,1.0
2025-10-30 07:30:00+00:00,ETHUSDT,1,SHORT,0.20302181608106434,0.0,0.3361153262518968,0.3069307,0.2545454545454545,3942.58,3942.59,3942.59,3942.59,1.0
2025-10-30 08:05:00+00:00,ETHUSDT,1,SHORT,0.21102513064780543,0.25,0.2,0.24764891,0.016129032258064516,3933.69,3933.69,3931.58,3931.58,1.0
2025-10-30 08:15:00+00:00,ETHUSDT,1,SHORT,0.21117693330435192,0.25,0.20588235294117646,0.24764891,0.0,3931.58,3931.58,3925.98,3925.97,1.0
2025-10-30 08:35:00+00:00,ETHUSDT,1,SHORT,0.18386028930968984,0.125,0.20588235294117646,0.30693072,0.016129032258064516,3925.97,3925.97,3919.83,3919.83,1.0
2025-10-30 08:55:00+00:00,ETHUSDT,1,SHORT,0.12528983280486808,0.0,0.20588235294117646,0.2476489,0.016129032258064516,3919.83,3919.83,3922.99,3932.66,0.0
2025-10-30 09:30:00+00:00,ETHUSDT,1,SHORT,0.16331090261763492,0.0,0.28559870550161814,0.24764891,0.15719063545150502,3907.89,3909.74,3896.08,3905.29,0.0
2025-10-30 09:50:00+00:00,ETHUSDT,1,SHORT,0.19134183907248442,0.125,0.28559870550161814,0.24764891,0.0,3905.55,3905.55,3905.55,3905.55,1.0
2025-10-30 18:20:00+00:00,ETHUSDT,1,SHORT,0.1815502403756965,0.0,0.3361153262518968,0.2476489,0.18803418803418803,3750.17,3743.68,3743.09,3738.91,1.0
2025-10-31 03:50:00+00:00,ETHUSDT,1,SHORT,0.1724122844014353,0.0,0.28559870550161814,0.3069307,0.1,3832.43,3832.43,3830.27,3830.27,1.0
2025-10-31 05:25:00+00:00,ETHUSDT,1,SHORT,0.1736445498846628,0.125,0.20588235294117646,0.24764891,0.06217616580310881,3857.72,3857.72,3854.33,3854.33,1.0
2025-10-31 05:50:00+00:00,ETHUSDT,1,SHORT,0.17516502854244714,0.125,0.20588235294117646,0.24764891,0.07738095238095238,3848.68,3851.28,3851.28,3851.28,1.0
2025-10-31 06:00:00+00:00,ETHUSDT,1,SHORT,0.21117692957906162,0.25,0.20588235294117646,0.2476489,0.0,3846.99,3845.24,3840.99,3845.69,0.0
2025-10-31 06:50:00+00:00,ETHUSDT,1,SHORT,0.18733405404738596,0.125,0.2526315789473684,0.24764891,0.058823529411764705,3826.77,3826.77,3826.77,3826.77,1.0
2025-10-31 07:05:00+00:00,ETHUSDT,1,SHORT,0.19907993058528936,0.125,0.28559870550161814,0.2476489,0.07738095238095238,3819.63,3832.5,3831.93,3838.09,0.0
2025-10-31 08:05:00+00:00,ETHUSDT,1,SHORT,0.18846500266419428,0.125,0.20588235294117646,0.30693072,0.06217616580310881,3836.84,3836.84,3836.8,3820.0,1.0
2025-10-31 10:15:00+00:00,ETHUSDT,1,SHORT,0.1298945498846628,0.0,0.20588235294117646,0.24764891,0.06217616580310881,3842.22,3842.22,3852.4,3852.4,1.0
2025-10-31 10:40:00+00:00,ETHUSDT,1,SHORT,0.1906980828586549,0.125,0.20588235294117646,0.3069307,0.08450704225352113,3849.61,3849.61,3849.62,3849.62,1.0
2025-10-31 10:55:00+00:00,ETHUSDT,1,SHORT,0.1521298440023099,0.0,0.28,0.24764891,0.06217616580310881,3847.68,3836.58,3833.73,3838.13,0.0
2025-10-31 11:35:00+00:00,ETHUSDT,1,SHORT,0.19978801507578867,0.125,0.20588235294117646,0.35222277,0.06217616580310881,3841.0,3841.0,3846.72,3845.23,1.0
2025-10-31 18:20:00+00:00,ETHUSDT,1,SHORT,0.20785041273623087,0.0,0.3361153262518968,0.34272993,0.21333333333333335,3825.99,3825.01,3824.06,3824.06,1.0
2025-10-31 22:50:00+00:00,ETHUSDT,1,SHORT,0.19680524402027672,0.0,0.28559870550161814,0.3803804,0.16030534351145037,3862.44,3862.44,3861.45,3859.03,1.0
2025-10-31 23:30:00+00:00,ETHUSDT,1,SHORT,0.18846499521361368,0.125,0.20588235294117646,0.3069307,0.06217616580310881,3854.03,3859.82,3857.99,3851.22,1.0
2025-10-31 23:55:00+00:00,ETHUSDT,1,SHORT,0.20682742048131006,0.125,0.20588235294117646,0.3803804,0.06217616580310881,3853.38,3853.38,3853.07,3848.77,1.0
2025-11-01 02:45:00+00:00,ETHUSDT,1,SHORT,0.14011027440852866,0.0,0.20588235294117646,0.30693066,0.016129032258064516,3850.46,3850.46,3851.85,3852.36,0.0
2025-11-01 03:15:00+00:00,ETHUSDT,1,SHORT,0.1921571464960343,0.0,0.33131313131313134,0.3069307,0.16030534351145037,3858.81,3857.95,3862.13,3862.13,1.0
2025-11-01 03:40:00+00:00,ETHUSDT,1,SHORT,0.19907993803586996,0.125,0.28559870550161814,0.24764892,0.07738095238095238,3861.71,3861.71,3860.7,3862.31,0.0
2025-11-01 04:20:00+00:00,ETHUSDT,1,SHORT,0.16903983653015836,0.125,0.20588235294117646,0.24764891,0.016129032258064516,3862.52,3856.97,3858.16,3863.23,0.0
2025-11-01 05:55:00+00:00,ETHUSDT,1,SHORT,0.19357039104489718,0.125,0.20588235294117646,0.35222274,0.0,3858.85,3858.85,3861.45,3861.45,1.0
2025-11-01 06:00:00+00:00,ETHUSDT,1,SHORT,0.20941222742199897,0.25,0.2,0.24764891,0.0,3861.45,3861.45,3855.57,3851.58,1.0
2025-11-01 06:10:00+00:00,ETHUSDT,1,SHORT,0.20472285066051246,0.125,0.2526315789473684,0.3069307,0.08450704225352113,3861.89,3861.45,3856.34,3856.34,1.0
2025-11-01 06:15:00+00:00,ETHUSDT,1,SHORT,0.1892241228193493,0.125,0.20588235294117646,0.3069307,0.06976744186046512,3856.34,3856.34,3857.4,3857.4,1.0
2025-11-01 06:20:00+00:00,ETHUSDT,1,SHORT,0.1974148114405729,0.125,0.20588235294117646,0.34272996,0.06217616580310881,3857.4,3857.4,3855.38,3855.38,1.0
2025-11-01 07:30:00+00:00,ETHUSDT,1,SHORT,0.17088686067262174,0.0,0.28559870550161814,0.3069307,0.0847457627118644,3864.48,3864.48,3861.18,3861.18,1.0
2025-11-01 07:45:00+00:00,ETHUSDT,1,SHORT,0.18846499521361368,0.125,0.20588235294117646,0.3069307,0.06217616580310881,3861.18,3861.18,3863.13,3867.17,0.0
