feature,mean_shap
atr14_pct,0.11735017993078456
plus_di,0.09056795886841318
minus_di,0.08263167162234943
candle_range_pct,0.0764873697309348
dist_from_low20,0.05103968301660879
cvd_accel,0.030443147282360267
liq_long_proxy,0.0274863580305133
buy_ratio_std10,0.02597155758888303
upper_wick,0.025286477335263166
liq_short_proxy,0.021004499588166595
cvd_ratio_20,0.018766356344248693
buy_sell_momentum,0.015777970598838884
cci20_norm,0.015138629113230682
dist_from_high20,0.014092260906796683
volume_spike,0.013365474588424305
sell_ratio,0.013103756970855512
macd_hist_norm,0.012139004997747942
delta_div_bull,0.011807212722922261
delta_ratio,0.010849742683944199
range_pos_20,0.010370735823534538
wt_diff,0.009936575775665932
poc_position,0.009816251687939977
bb_pos,0.009755616866801377
vol_spike_delta,0.00926325038828958
buy_ratio,0.009081074714126457
body_ratio,0.00858212757400881
bb_width_pct,0.008056472650534018
lower_wick,0.007263658530189411
liq_net,0.006558562731438007
price_mom_5,0.006193949513994941
ema20_slope,0.005330522887258169
rsi14_norm,0.004786025059015422
price_mom_20,0.0047820807675663
vwap_dev,0.004489178047916114
adx14_norm,0.003834264048105893
wt1_norm,0.0030151313924958517
delta_div_bear,0.001059335256466668
stacked_bull,0.0010423903669537144
stacked_bear,0.0003140083388703587
